,PBW_Adj_close,VIX,OVX,VXN,EPU,EMU,EMV_IDT,MA50,MA200,RSI,WAD,StoSLOWD,StoFASTK,StoFASTD,ADX,MACD,MACD Signal,PriceRateOfChange,onBalanceVolume,MFI
2009-04-30,33.751792907714844,36.5,52.75,36.63999938964844,130.17,42.72,5.01,28.265060424804688,41.61844006538391,64.20699325152539,-199.1843158928641,-143.06666790739922,-99.1843158928641,-138.08829879438002,24.360372310982182,1.1040233466951292,1.1295820820619416,5.029212998184618,-422920.0,51.694963343962684
2009-05-01,34.090057373046875,35.29999923706055,50.20000076293945,35.04999923706055,116.18,45.43,0.76,28.406381912231446,41.42938488960266,65.40546601411404,-193.8573183588998,-136.12188777570216,-93.8573183588998,-119.52156052939534,25.224383106944156,1.1771111819875735,1.139087902047068,4.855426531361995,-381840.0,50.42592669266185
2009-05-04,36.758628845214844,34.529998779296875,49.0099983215332,35.04999923706055,130.36,20.13,2.95,28.614605598449707,41.25404847145081,73.06708418540286,-136.57078213161893,-111.3824438171899,-36.57078213161893,-76.53747212779435,26.87788025221164,1.4338368549168443,1.1980376926210232,14.65412093943035,-227620.0,50.74481343249852
2009-05-05,36.49553680419922,33.36000061035156,47.400001525878906,33.41999816894531,65.38,52.24,0.87,28.852897872924803,41.07326210975647,71.38845580220749,-138.22002929523669,-84.09169197303608,-38.22002929523667,-56.216043261918536,28.494205820596076,1.5976477822315047,1.2779597105431195,14.50469534448704,-452400.0,57.232394093772875
2009-05-06,36.87139892578125,32.45000076293945,46.880001068115234,33.279998779296875,88.77,17.93,0.0,29.058866577148436,40.89285168647766,72.36522998904739,-132.27004642311218,-56.14682266878962,-32.270046423112184,-35.686952616655994,30.144877858359457,1.737766167664276,1.369921001967351,11.47726274041052,-320020.0,58.04586463244015
2009-05-07,35.59347152709961,33.439998626708984,47.400001525878906,34.470001220703125,103.71,26.69,0.31,29.253559226989747,40.70586367607117,64.32456384195065,-144.56527709960938,-43.41826005040911,-44.565277099609375,-38.351784272652814,30.002680562003544,1.725799000029717,1.441096601579824,7.12668094851725,-465820.0,51.896900424866224
2009-05-08,36.382774353027344,32.04999923706055,44.88999938964844,33.66999816894531,171.49,26.48,1.16,29.47230670928955,40.5213188457489,66.77976428030256,-136.67224884033203,-37.29153144788668,-36.67224884033203,-37.83585745435126,29.870640215387336,1.7597201169139112,1.5048213046466414,18.482241346208017,-372200.0,57.586201549185304
2009-05-11,36.082096099853516,32.869998931884766,45.22999954223633,34.290000915527344,74.34,30.82,1.2,29.703081817626952,40.35049271583557,64.94612481131959,-154.3414841407636,-40.46021502907971,-54.341484140763605,-45.193003360235075,29.56914210280109,1.7422569704370758,1.5523084378047283,15.66263218649424,-449200.0,57.91285258725595
2009-05-12,35.405555725097656,31.799999237060547,44.97999954223633,33.09000015258789,110.55,22.91,0.45,29.958663330078124,40.1706459903717,60.89454987462567,-166.41414524547798,-45.16827340781475,-66.41414524547797,-52.47595940885793,28.823555733925108,1.6547512050352466,1.572796991250832,10.823513509899119,-602680.0,51.45888169131675
2009-05-13,32.66182327270508,33.650001525878906,46.849998474121094,34.97999954223633,75.19,29.91,0.35,30.15260482788086,39.986477003097534,47.85575320515965,-197.59292581670292,-56.81727150113596,-97.59292581670292,-72.78285173431489,27.07261377739034,1.3484617492727509,1.5279299428552158,1.8757432813906405,-713960.0,45.58120800454491
2009-05-14,33.67661666870117,31.3700008392334,45.65999984741211,32.63999938964844,135.13,16.37,0.0,30.353311500549317,39.78990471839905,51.95346766863754,-186.0611816806084,-69.53829846358975,-86.06118168060839,-83.35608424759648,25.668025214025686,1.174076472224641,1.4571592487291007,4.918029474805108,-631200.0,40.237969730729986
2009-05-15,32.887325286865234,33.119998931884766,46.0099983215332,33.13999938964844,370.6,13.61,0.0,30.560031700134278,39.58318438529968,48.74491603480326,-195.03040270635455,-83.01125757215556,-95.03040270635455,-92.89483673455534,24.27562376141977,0.9611066267302348,1.3579487243293276,2.9411589111076664,-702600.0,40.08674304901763
2009-05-18,34.20281982421875,30.239999771118164,42.209999084472656,30.219999313354492,84.97,10.14,1.19,30.79757209777832,39.396384496688846,53.85953019020685,-204.479734359249,-90.48045352140751,-104.479734359249,-95.19043958207071,22.682303144933634,0.8882368632772923,1.2640063521189204,7.565039884018687,-558520.0,61.08967794342046
2009-05-19,34.99211883544922,28.799999237060547,41.25,29.559999465942383,69.66,7.62,0.0,31.056160507202147,39.21428267478943,56.654379182441616,-213.58697916525756,-97.48366057563771,-113.58697916525756,-104.36570541028709,21.983047471770757,0.8839868345359392,1.1880024486023242,6.521743422034354,-468140.0,61.58771278526424
2009-05-20,36.00692367553711,29.030000686645508,40.7400016784668,29.899999618530273,111.98,48.0,0.0,31.299714813232423,39.05285279273987,60.00843574040032,-199.19258271265585,-101.76974791269289,-99.19258271265586,-105.75309874572086,22.066133388993233,0.9515362085543018,1.1407092005927197,6.681513998347621,-322900.0,62.17729710620085
2009-05-21,35.33039474487305,31.350000381469727,41.560001373291016,31.200000762939453,133.56,21.91,0.0,31.52071792602539,38.88202666282654,56.85019218915777,-208.78873879601647,-105.7694125713282,-108.78873879601647,-107.18943355797667,20.92791662521775,0.9396476699851775,1.1004968944712112,3.6384138584842685,-419240.0,57.87607105714376
2009-05-22,34.54108428955078,32.630001068115234,40.95000076293945,31.8700008392334,105.33,21.27,0.42,31.69962501525879,38.70030066490173,53.32402879970696,-219.98463299091233,-107.4215057122975,-119.98463299091236,-109.32198483319495,19.8710010588548,0.8566601157530584,1.0517295387275807,-6.032718372063917,-466700.0,52.108603651942474
2009-05-26,35.93174743652344,30.6200008392334,41.970001220703125,31.229999542236328,99.6,27.05,0.0,31.898828201293945,38.528159093856814,58.23878919967286,-200.25891245945192,-108.72961549109952,-100.25891245945192,-109.67742808212695,19.397633081922216,0.8928149597370734,1.0199466229294791,-1.5448173038268953,-353120.0,48.31374040312465
